iter	Logloss
0	0.6700846546
1	0.6517635716
2	0.6358492882
3	0.6230059554
4	0.6112228559
5	0.6013706417
6	0.5927654311
7	0.5846808234
8	0.5779770132
9	0.5717095173
10	0.565414013
11	0.5603969765
12	0.5549890097
13	0.5502418284
14	0.54597475
15	0.5423656842
16	0.5387203405
17	0.535499121
18	0.5323063582
19	0.5294302666
20	0.5264039476
21	0.5232190919
22	0.5206528965
23	0.5179295677
24	0.5158438863
25	0.5133826096
26	0.51060057
27	0.5086371163
28	0.5063394259
29	0.5041859289
30	0.5021419952
31	0.5005098542
32	0.4980932201
33	0.4964033537
34	0.4942342003
35	0.492527179
36	0.4911711933
37	0.4894320557
38	0.4880809339
39	0.4864886009
40	0.48519638
41	0.4832397855
42	0.4817229581
43	0.4799360509
44	0.4781888025
45	0.4769221041
46	0.4750691365
47	0.4737549615
48	0.4718330485
49	0.470267654
50	0.4692775976
51	0.4675795821
52	0.4666101488
53	0.4650711462
54	0.4637547705
55	0.4623457079
56	0.4613416757
57	0.4600292471
58	0.4588614496
59	0.4574711571
60	0.4557388846
61	0.4543109098
62	0.45312393
63	0.452367556
64	0.4515654518
65	0.4502682559
66	0.4489132819
67	0.446774678
68	0.4459314639
69	0.4449249217
70	0.4429464696
71	0.4417230934
72	0.4407788963
73	0.4396785449
74	0.4382104552
75	0.4376106354
76	0.4367954425
77	0.4351133765
78	0.4341290337
79	0.432806677
80	0.4312295098
81	0.4306153546
82	0.4301014831
83	0.4289848044
84	0.4280423437
85	0.4274176564
86	0.4265697848
87	0.4250040724
88	0.4242746499
89	0.4234981024
90	0.4223815157
91	0.4210369214
92	0.4205610572
93	0.4196396946
94	0.4188722711
95	0.4177783734
96	0.4166738286
97	0.4157663172
98	0.414658658
99	0.4141325836
